author,followers_raw,author_followers,score,verdict,reach_median,likes,retweets,engagement,rel_amp,tweet
selenagomez,45000000,141,4,Likely to fizzle,141,4746,5159,15064.0,0.826,❤ http://t.co/00tamZNzEz
BarackObama,78000000,147,4,Likely to fizzle,147,1178,602,2382.0,0.676,WATCH: President Obama discusses #CollegeOpportunity with students from across the country. http://t.co/nfa7wPavgW
jtimberlake,41000000,140,60,Has legs,779,48,35,118.0,0.044,.@JonesBeach1988 I bet you killed it too!! Love it.
britneyspears,36000000,138,20,Likely to fizzle,274,3618,1741,7100.0,1.86,Omg!! This is SO cool. You guys are the best thank you for voting!  https://t.co/rJ1sJTOAyr
jtimberlake,41000000,140,4,Likely to fizzle,140,1927,925,3777.0,1.395,JT &amp; @TheTNKids live from ICELAND NOW via @YahooScreen: http://t.co/Ic8xgJxw8Y -teamJT
ArianaGrande,42000000,140,4,Likely to fizzle,140,19950,9934,39818.0,0.991,"mood 
@frankiejgrande https://t.co/Dlmt1BnvMV"
instagram,45000000,141,4,Likely to fizzle,150,906,177,1260.0,0.925,This is what it looks like when birds do yoga https://t.co/Ljht2EVTk5
shakira,42000000,140,4,Likely to fizzle,140,821,396,1613.0,0.668,To download Shak's new @LoveRocks game for free / Para bajarse de gratis el nuevo juego de Shak https://t.co/YeSf2emPel 
selenagomez,45000000,141,16,Likely to fizzle,242,3292,3448,10188.0,0.558,. @HeckYesSelena It was an opportunity for me to learn a lot about technology and cars so that was fun.
KimKardashian,48000000,142,11,Likely to fizzle,217,491,70,631.0,0.083,@ZOHALxo he thinks he's being funny. I got mad at him and he posted that to get me back.
cnnbrk,25000000,134,3,Likely to fizzle,134,283,288,859.0,0.622,"Ukraine President to CNN's Christiane Amanpour: Vladimir Putin wants ""the whole Ukraine."" https://t.co/MkOQo520ft https:"
instagram,45000000,141,4,Likely to fizzle,141,1513,327,2167.0,1.591,#DailyFluff 🐾 https://t.co/vFBCdwfdwa
shakira,42000000,140,4,Likely to fizzle,140,453,742,1937.0,0.803,Porqué esto es África. Shak http://t.co/rxytQjfY
rihanna,59000000,144,4,Likely to fizzle,144,17879,9927,37733.0,5.9,My @i_D magazine #COVER . Shot by one of my favorite people: Paolo Roversi http://t.co/KhzfA6Nmgn
KimKardashian,48000000,142,5,Likely to fizzle,155,5570,944,7458.0,0.98,So proud of my husband! These beautiful girls all in Yeezy Season 2 styled by Carine Roitfeld https://t.co/XatQqBaLwB
ArianaGrande,42000000,140,21,Likely to fizzle,272,31480,12750,56980.0,1.42,what's your favorite on DW? ♡ #DangerousWomanOutNow ---&gt; https://t.co/Qbc5r9xVF8 https://t.co/8CxD5WqNyJ
taylorswift13,83000000,147,7,Likely to fizzle,172,4658,6265,17188.0,0.548,Got to help switch on the lights at Westfield tonight in London and lots of people showed up and we played a few songs a
Cristiano,52000000,142,4,Likely to fizzle,142,10845,3157,17159.0,3.785,"Photoshoot with @AngelAlessandra for a special project. Great meeting her, a lot of fun. http://t.co/wzv2kBB4Zz http://t"
jimmyfallon,42000000,140,4,Likely to fizzle,140,3873,1582,7037.0,3.154,This happened. http://t.co/JwVcyLu0Bd
KimKardashian,48000000,142,12,Likely to fizzle,211,2612,407,3426.0,0.45,FATHER’S DAY GIFT GUIDE https://t.co/TCdfrVQcRR https://t.co/BvXdq1LVil
TheEllenShow,65000000,145,8,Likely to fizzle,189,5929,842,7613.0,1.31,Whaddya mean it's not snow? https://t.co/Czol6nSYfc
katyperry,95000000,149,55,Has legs,729,5865,5515,16895.0,1.179,Thanks for an INCREDIBLE release everyone! I hope the colors on this record r bursting through ur earbuds like lil danci
shakira,42000000,140,4,Likely to fizzle,140,6636,1277,9190.0,3.82,"Thanks to my fans for these two Grammys, @carlosvives, Afo Verde, my team, my angels Sasha and Milan and the love o… htt"
jtimberlake,41000000,140,11,Likely to fizzle,201,6829,2257,11343.0,4.189,Bae doing cameos... @JessicaBiel @NewGirlonFOX
YouTube,60000000,144,10,Likely to fizzle,199,947,157,1261.0,0.923,Could you describe color to a blind person? https://t.co/vldXGuowC0 https://t.co/V5EGMunFNA
britneyspears,36000000,138,3,Likely to fizzle,138,2630,574,3778.0,0.989,❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️ One for each copy! https://t.co/WpeUH6CbFT
britneyspears,36000000,138,10,Likely to fizzle,192,2417,622,3661.0,0.958,Thank you! Appreciate the support! https://t.co/A1xZSR1q9R
YouTube,60000000,144,4,Likely to fizzle,144,1697,262,2221.0,1.627,These life hacks are pure jean-ius. https://t.co/bp6qGEPQmC https://t.co/EKPS3lME6X
jtimberlake,41000000,140,27,Limited spread,321,2063,563,3189.0,1.178,"I don't know, @gwenstefani !! WHO IS THAT dancing and doing donuts in that car?!?! 🏎🏁‼️😉

#CantStopTheFeeling  https:/"
taylorswift13,83000000,147,8,Likely to fizzle,191,1250,1310,3870.0,0.123,"@lenadunham, you made my day with that. I'm now going to sit in my dressing room reciting my fav @girlsHBO quotes.. Whic"
ArianaGrande,42000000,140,4,Likely to fizzle,140,14809,7294,29397.0,0.732,chillllin! missed u babies. was my last day off for a while! also tryna get rid of this damn cough / cold situation. htt
jtimberlake,41000000,140,11,Likely to fizzle,200,6875,2497,11869.0,4.383,"What a game. Heartbreaker... But, you gotta give it up to Seattle on that comeback. Great season for @AaronRodgers12 and"
selenagomez,45000000,141,18,Likely to fizzle,259,1181,1462,4105.0,0.225,@SGRulesTheWrld Yes I do
ArianaGrande,42000000,140,59,Has legs,768,65456,29673,124802.0,3.111,I'll be yours forever cause I never wanna be without love 🍂
Twitter,55000000,143,4,Likely to fizzle,153,101,106,313.0,0.298,Check out @sam's AMAZING snowman http://twitpic.com/wdvmq
justinbieber,91000000,148,4,Likely to fizzle,148,29113,22000,73113.0,0.516,I missed it too but I #PreOrderPURPOSE  already :) https://t.co/m0TIVN4Tkh
KimKardashian,48000000,142,9,Likely to fizzle,186,4711,848,6407.0,0.842,CANCER SUCKS: CHLOË TAKES A STAND https://t.co/V7YlZR3vov https://t.co/azPPMpG87W
ladygaga,64000000,145,4,Likely to fizzle,145,4705,3409,11523.0,1.004,Nightlife Tokyo Bitches http://t.co/IUoo5w9HQa
rihanna,59000000,144,4,Likely to fizzle,144,1965,2942,7849.0,1.227,#ThugLife http://t.co/YQbgfG7R
BarackObama,78000000,147,11,Likely to fizzle,205,1344,459,2262.0,0.642,"""In fact, gas prices have already been falling, steadily."" —President Obama on rejecting the #KeystoneXL"
britneyspears,36000000,138,10,Likely to fizzle,219,3020,2146,7312.0,1.924,So proud of this show &amp; thrilled POM is up for Best Show in the @ReviewJournal's @BestOfLasVegas Awards. Text 'Vote 
taylorswift13,83000000,147,8,Likely to fizzle,182,23251,19762,62775.0,2.004,Usually this S represents 'Swift' but today I'm wearing it because SELENA IS 22!!!! http://t.co/vBxDgwQHJf
ArianaGrande,42000000,140,13,Likely to fizzle,214,15595,5018,25631.0,0.638,I love you more  https://t.co/jFYcZvt0n0
YouTube,60000000,144,4,Likely to fizzle,144,1085,189,1463.0,1.072,"Let's get some shoes! 
100 Years of High Heels → https://t.co/8KlU0nxuZN https://t.co/JBXSfWxu9z"
ArianaGrande,42000000,140,39,Limited spread,481,36606,9098,54802.0,1.366,hbd babygirl @DoveCameron i love you with all my heart
jimmyfallon,42000000,140,7,Likely to fizzle,166,2681,4876,12433.0,5.573,"Disney World is helping employees sign up for Obamacare. Now Sneezy is on Claritin, Sleepy is on Adderall &amp; Grumpy i"
jimmyfallon,42000000,140,49,Limited spread,607,311,42,395.0,0.177,@russwest44 @nbc I am LOVING my shoes!! Hoodie next time. Thanks.
katyperry,95000000,149,46,Limited spread,571,2540,1345,5230.0,0.365,@yungskeeter ugh. I'm not limp bizquick?! 🙍
justinbieber,91000000,148,13,Likely to fizzle,217,121238,61346,243930.0,1.72,Vancouver tonight
Twitter,55000000,143,5,Likely to fizzle,151,1113,414,1941.0,1.85,"Tap below and watch LIVE now! 
#DemConvention 
https://t.co/GjfWrsP3Uq"
ladygaga,64000000,145,5,Likely to fizzle,158,14563,6751,28065.0,2.446,"Ok monsters WHO I KNOW ARE VOTING ✌️Get to work. RT My thoughts as a ""celebrity"" insider, on Trump. And why it's im… htt"
BarackObama,78000000,147,4,Likely to fizzle,147,2496,1334,5164.0,1.465,President Obama is heading to Alaska—the front lines in the fight against climate change. http://t.co/UyAmOWgqcG
selenagomez,45000000,141,75,Viral potential,1000,1622,3883,9388.0,0.514,Congrats to everyone at WIzards we won our second Emmy!!!!
YouTube,60000000,144,20,Likely to fizzle,262,67,34,135.0,0.099,"@memealuvzCL @CLTOUR2016 See, we did ask for a friend: @chaelinCL #CLTour2016"
ddlovato,41000000,140,4,Likely to fizzle,140,14380,8314,31008.0,0.951,Fresh face can work for red carpets too! #FFF @devonnebydemi http://t.co/3a0NkvjA1S http://t.co/CdMZJ6mdIG
instagram,45000000,141,4,Likely to fizzle,141,2604,458,3520.0,2.584,The magic of Mexican trio @kaayoficial and their first @LatinGRAMMYs nomination https://t.co/kaK6ZNZYZB https://t.co/oFe
selenagomez,45000000,141,32,Limited spread,377,657,2048,4753.0,0.26,Cleveland!!!!!! So glad to be back to perform for you tonight.
YouTube,60000000,144,4,Likely to fizzle,144,742,119,980.0,0.718,"One of the best hits from “In Colours” gets another music video. 

Jamie xx’s “Gosh” → https://t.co/rKkioa3OVH https:/"
cnnbrk,25000000,134,3,Likely to fizzle,134,323,363,1049.0,0.76,"North Korea executed top education official, South Korean Unification Ministry says. https://t.co/dZHIa7bMPi"
YouTube,60000000,144,4,Likely to fizzle,144,834,122,1078.0,0.79,Might need a thousand more cowbells. https://t.co/GEHdsOrJ5n https://t.co/Q1nZbaLyUb
YouTube,60000000,144,17,Likely to fizzle,243,1234,173,1580.0,1.158,Why 50? Cause that’s just how he rolls. https://t.co/DKl7qRoKSd https://t.co/ztfmYsKPxD
ddlovato,41000000,140,4,Likely to fizzle,140,35409,14457,64323.0,1.977,Your typical 2 million person selfie #RockinEve https://t.co/AbCojWtlMi
ddlovato,41000000,140,66,Has legs,908,4219,2667,9553.0,0.293,@LogoTV thank YOU!!!! I'm just doing what people should ALREADY be doing.. Standing up for love..❤️💛💚💚💙
BarackObama,78000000,147,12,Likely to fizzle,215,664,272,1208.0,0.343,"""We are determined to help AmeriCorps succeed."" —President Obama #AmeriCorps20"
jimmyfallon,42000000,140,68,Has legs,951,228,52,332.0,0.149,@common thank you. just... wow.
katyperry,95000000,149,4,Likely to fizzle,149,13965,8023,30011.0,2.094,BEST joke of the year https://t.co/Z77g8WC9WC
TheEllenShow,65000000,145,6,Likely to fizzle,172,3123,496,4115.0,0.708,Do you know someone who spreads happiness? Nominate them &amp; Nutella may give 'em $10K. That's nuts #LaughDancePartner
BarackObama,78000000,147,4,Likely to fizzle,147,891,524,1939.0,0.55,"For everyone who has health insurance, here's a big way #Obamacare works for you: http://t.co/1h3a0K1c8i http://t.co/a5G"
BarackObama,78000000,147,19,Likely to fizzle,258,70085,58853,187791.0,53.282,"""When all Americans are treated as equal, we are all more free."" —President Obama #LoveWins"
selenagomez,45000000,141,87,Viral potential,1000,2936,2999,8934.0,0.49,. @HeckYesSelena: @selenagomez how was your experience filming #Getaway different than any other film you've been in?
ladygaga,64000000,145,8,Likely to fizzle,173,3147,1652,6451.0,0.562,@samantharonson 11 am PST on Beats 1 LA on now NRG feat. novelist (1.03 pm) https://t.co/6JvmGxEVmp
rihanna,59000000,144,4,Likely to fizzle,144,743,933,2609.0,0.407,#fashioncollabo the one of a kind MJ Woodbridge and adamselman http://t.co/ShbqtVqaY9
BarackObama,78000000,147,4,Likely to fizzle,147,10539,1981,14501.0,4.114,Show President Obama some love on his 55th birthday—sign the birthday card. https://t.co/Tzhrrxe07J https://t.co/Bxl1FsO
ArianaGrande,42000000,140,5,Likely to fizzle,154,31910,16362,64634.0,1.611,5 https://t.co/vpJNVa2Hzt ☕️
katyperry,95000000,149,6,Likely to fizzle,171,5417,2946,11309.0,0.788,🌴🌵THE COUNTDOWN BEGINS! 🌵🌴 When cowboy boots &amp; Manolos collide...FRIDAY on CMT spaceykacey http://t.co/UgcpRb3QsG
BarackObama,78000000,147,4,Likely to fizzle,147,6542,3053,12648.0,3.589,Love is winning: http://t.co/KjLt3A8mk3 #LoveIsLove http://t.co/0EdqRMaqXX
katyperry,95000000,149,5,Likely to fizzle,158,9365,5166,19697.0,1.374,KATY x MOSCHINO #2 https://t.co/MPcUvjUC2f
Twitter,55000000,143,4,Likely to fizzle,143,133,448,1029.0,0.981,Reason #4132 for Changing Your Password: http://bit.ly/cRTg8v
YouTube,60000000,144,4,Likely to fizzle,144,1089,206,1501.0,1.1,Open up and say … ewwwww. https://t.co/mujc5ckLB9 https://t.co/hgmhNCGspO
cnnbrk,25000000,134,3,Likely to fizzle,134,498,614,1726.0,1.252,"At least 4 dead in Philadelphia heat wave, city official says. https://t.co/YjbrjnVQz5 https://t.co/ixxllqmSq8"
TheEllenShow,65000000,145,4,Likely to fizzle,145,2955,463,3881.0,0.667,"I can’t look right at it, it’s so beautiful. RT @vanderjames: Thanks @TheEllenShow for this astounding minivan art. http"
katyperry,95000000,149,4,Likely to fizzle,149,10146,5218,20582.0,1.436,Krafts on Krafts on Krafts https://t.co/7SpX2ezt41
rihanna,59000000,144,53,Has legs,645,1736,2345,6426.0,1.005,"And on that note, glam starts NOW!!! New cover shoot today! I got a hustler spirit nigga, PERIOD."
ladygaga,64000000,145,5,Likely to fizzle,167,8402,5631,19664.0,1.714,Someone asked me if my mother monster tattoo hurt. I said not as much as is hurt to get here. #ItsALongWayToTheTopIfYouW
justinbieber,91000000,148,6,Likely to fizzle,169,86462,52037,190536.0,1.344,Incredible. Thanks so much  https://t.co/1Y6T0f5cbO
BarackObama,78000000,147,15,Likely to fizzle,240,840,360,1560.0,0.442,"""The question then is not whether to prevent Iran from obtaining a nuclear weapon, but how."" —President Obama #IranDeal"
instagram,45000000,141,16,Likely to fizzle,249,967,197,1361.0,0.999,Why join a marching band when you can be in a floating band? https://t.co/ThCqLX91OU
KimKardashian,48000000,142,30,Limited spread,367,3087,459,4005.0,0.526,Live stream now! Log onto my app!
selenagomez,45000000,141,4,Likely to fizzle,149,44107,33755,111617.0,6.121,It’s here!!! You can finally get #GoodForYou ft. @asvpxrocky on @AppleMusic! http://t.co/6uWomq0CdO http://t.co/CqQLaXBD
BarackObama,78000000,147,4,Likely to fizzle,147,9018,3626,16270.0,4.616,It's been more than 40 days since Judge Garland was nominated. Senate leaders: #DoYourJob. https://t.co/RUBRebSJhZ
instagram,45000000,141,4,Likely to fizzle,141,946,197,1340.0,0.983,“You have to try different styles and change it up from time to time depending on your mood.” —@nailbarbie https://t.co/
justinbieber,91000000,148,18,Likely to fizzle,255,46882,33897,114676.0,0.809,. @MadisonElleBeer @JackAndJackReal you better bring it young ones :) #AllForLove
britneyspears,36000000,138,18,Likely to fizzle,254,940,1728,4396.0,1.152,"So, I have a little Ooh La La update for y'all.  Tweet #BritneyOohLaLaNews if you wanna know what it is…"
britneyspears,36000000,138,3,Likely to fizzle,138,2858,1107,5072.0,1.329,Breathe on Me and Touch of My Hand. #PieceOfMeIsBack  https://t.co/EwYjuCPixb
jtimberlake,41000000,140,4,Likely to fizzle,140,13448,4119,21686.0,8.008,#CantStopTheFeeling #Eurovision. Congrats @jamala #Ukraine!! https://t.co/1z9fA31yTR
Cristiano,52000000,142,19,Likely to fizzle,237,298,712,1722.0,0.38,Now we need to win the three matches that we have left. Thank you for all the support in the last days.
cnnbrk,25000000,134,3,Likely to fizzle,134,624,753,2130.0,1.545,"Montrell Jackson, Matthew Gerald and Brad Garafola are the 3 Baton Rouge officers shot dead. https://t.co/dp4iHaUgRh htt"
BarackObama,78000000,147,4,Likely to fizzle,147,4048,802,5652.0,1.604,"In the weekly address, President Obama commemorates the 100th anniversary of the @NatlParkService. https://t.co/TyJS4eBF"
britneyspears,36000000,138,4,Likely to fizzle,143,5107,2190,9487.0,2.485,Thanks for jumping on stage with me last night @TysonCBeckford!! Your dance moves were 🔥🔥🔥 http://t.co/4Q4e5JlaeL
Cristiano,52000000,142,4,Likely to fizzle,142,3424,3407,10238.0,2.259,Loved the @jacobandcompany cocktail gala in Monaco last week. Had a lovely time. http://t.co/RtvjT8xg8k
YouTube,60000000,144,8,Likely to fizzle,180,1418,313,2044.0,1.5,Cute or creepy? https://t.co/FNojNFxENZ https://t.co/bSPuNUbYCr
jimmyfallon,42000000,140,20,Likely to fizzle,281,1062,239,1540.0,0.69,"Tonight on the show: Sigourney Weaver, @Andy Cohen, and music from @EllaHenderson! #FallonTonight"
katyperry,95000000,149,74,Has legs,968,1113,2245,5603.0,0.391,Giggles! RT @sofifii: Never a plastic bag always a FIREWORK “@hellogiggles: Happy Birthday @katyperry you are a FIREWORK
instagram,45000000,141,4,Likely to fizzle,141,657,124,905.0,0.664,"Ice, ice baby #BoomerangOfTheWeek
https://t.co/FzTJNegkfK"
ArianaGrande,42000000,140,11,Likely to fizzle,202,17236,5518,28272.0,0.704,thank you so much !!  https://t.co/4UnVZEWvFE
selenagomez,45000000,141,10,Likely to fizzle,191,162844,73471,309786.0,16.987,"Did this on my birthday... coming soon. Thank you for all the love. I love you guys, God bless https://t.co/4Pb5usx2Pk"
TheEllenShow,65000000,145,4,Likely to fizzle,145,1182,149,1480.0,0.255,".@ElleKingMusic was here to perform ""America's Sweetheart"" for America's Sweetheart. https://t.co/XuIkmOXMCe"
britneyspears,36000000,138,24,Likely to fizzle,304,466,260,986.0,0.258,@prfmat Lol. This deserves a fav.
ArianaGrande,42000000,140,36,Limited spread,398,15021,3594,22209.0,0.553,@mishalambert you are my inspiration 👯
katyperry,95000000,149,32,Limited spread,386,5219,4086,13391.0,0.934,Watching something amazing happen between Robbie Williams and Rufus Wainwright in pink satin suits on the BBC. Hello 🇬🇧!
justinbieber,91000000,148,5,Likely to fizzle,163,21673,16337,54347.0,0.383,Hate when that happens https://t.co/uqreoTDkCF
britneyspears,36000000,138,20,Likely to fizzle,265,75,105,285.0,0.074,@LiloOuchOficial I see u! Thank u for voting :) Xo
KimKardashian,48000000,142,4,Likely to fizzle,148,2913,454,3821.0,0.502,We ship internationally now! #KimojiMerch Go on my app of https://t.co/M0m4mjqwvP https://t.co/9Jni2Ahn2t
KimKardashian,48000000,142,4,Likely to fizzle,142,4983,651,6285.0,0.826,Night at the museum #LACMA https://t.co/z4p1wy9okq
ArianaGrande,42000000,140,58,Has legs,784,33231,15959,65149.0,1.624,i love you köln. you were........ 👼👼👼👼. thank you so much.
BarackObama,78000000,147,4,Likely to fizzle,147,3054,937,4928.0,1.398,"Six months is long enough, senators. It's time to #DoYourJob and give Judge Garland a hearing. https://t.co/A2Yedmhuw6"
Cristiano,52000000,142,4,Likely to fizzle,151,11995,4282,20559.0,4.535,Introducing MTG Sixpad in China. http://t.co/JLkIKZ1WD8
shakira,42000000,140,4,Likely to fizzle,140,1348,958,3264.0,1.357,"Shak's teaming up with @Target for the Deluxe Edition of her new album, Shakira! Here's the Deluxe artwork! ShakHQ http:"
britneyspears,36000000,138,15,Likely to fizzle,230,2119,498,3115.0,0.816,This makes me so happy! Thank you ❤️ https://t.co/lAf9cCmKCW
justinbieber,91000000,148,4,Likely to fizzle,148,77793,68646,215085.0,1.517,#WhereAreUNow http://t.co/ZPZfVJHADn
taylorswift13,83000000,147,21,Likely to fizzle,271,30580,13306,57192.0,1.826,"Thank you SO much @SerayahLove @jessicaalba @GiGiHadid @CindyCrawford @EllenPompeo @elliegoulding 

#24hrVevoRecord"
TheEllenShow,65000000,145,4,Likely to fizzle,145,2639,438,3515.0,0.604,Check out my hooters! There¹s the mother and the father and the baby in the middle. http://t.co/PPl4Y3F7Ga
jimmyfallon,42000000,140,4,Likely to fizzle,140,1700,640,2980.0,1.336,Donald Trump calls @HillaryClinton before her appearance on show https://t.co/RzaHQq6U3B #FallonTonight
BarackObama,78000000,147,6,Likely to fizzle,164,636,294,1224.0,0.347,Expecting an addition to the family? Check your health care options: http://t.co/OyeqaK2s4z http://t.co/Cjuev1ows2
justinbieber,91000000,148,4,Likely to fizzle,148,55741,47447,150635.0,1.062,"iTunes  http://t.co/cBCrNNhooP
Spotify http://t.co/guDqrRG3My
YouTube http://t.co/wMdFQNYMye http://t.co/kDYjL3vmtA"
BarackObama,78000000,147,13,Likely to fizzle,217,3136,1498,6132.0,1.74,"The economy added 215,000 jobs in July—marking a record-breaking 65 consecutive months of private-sector job growth."
ladygaga,64000000,145,6,Likely to fizzle,169,3837,2825,9487.0,0.827,"DONATE @: https://t.co/kqmc8QTXzf They were Born This Way, and need our love. #IceBucketChallenge #BTWfoundationLovesALS"
jimmyfallon,42000000,140,14,Likely to fizzle,220,942,196,1334.0,0.598,"Tonight on the show we have Martin Lawrence (@realmartymar), @JennySlate, and @aloeblacc! Plus new #ThankYouNotes! #Fall"
jimmyfallon,42000000,140,24,Likely to fizzle,300,4129,2061,8251.0,3.698,"My friend once said, ""If you can't remember a guy's name, just call him David. Most men are named David."" #worstadvice"
cnnbrk,25000000,134,3,Likely to fizzle,134,1316,1030,3376.0,2.448,Apple announced its next-generation iPhone 7 in a tweet. The device is water resistant. https://t.co/EmnCyOedXf https://
selenagomez,45000000,141,4,Likely to fizzle,141,7035,8116,23267.0,1.276,"""Sherman Oaks Arclight with a full Hotel Transylvania wall.  Crazy!! You can barely see me lol"" http://t.co/g29syWwY"
shakira,42000000,140,4,Likely to fizzle,140,995,1087,3169.0,1.317,"Luego, el vídeo de #CantRemembertoForgetYou con @Rihanna se estrenará mañana en @VEVO a las 8.35pm EST. http://t.co/8WYX"
Twitter,55000000,143,4,Likely to fizzle,143,1531,384,2299.0,2.192,"They walked. You talked.

Check out the highlights from last night's #GoldenGlobes https://t.co/rPhcjwPbHd"
jtimberlake,41000000,140,4,Likely to fizzle,140,2057,3621,9299.0,3.434,Check out the new video for Tunnel Vision and be ready...it's explicit. -teamJT http://t.co/wuzwCZDUId #The2020Experienc
jimmyfallon,42000000,140,4,Likely to fizzle,140,4517,1523,7563.0,3.39,Barb is back. And she's not happy. (Special thanx @milliebbrown @FinnSkata @GatenM123 @calebrmclaughl1!) https://t.co/Fv
selenagomez,45000000,141,4,Likely to fizzle,141,10966,7168,25302.0,1.387,This mornin'. Gardening and my own iced coffee with A LOT of cinnamon. He http://t.co/rcPKamuHeE
TheEllenShow,65000000,145,5,Likely to fizzle,161,3662,584,4830.0,0.831,This boy makes me so happy. https://t.co/Y7IlO3zksK https://t.co/LxG8VRVHan
britneyspears,36000000,138,3,Likely to fizzle,138,10278,3844,17966.0,4.707,My son is a true artist! http://t.co/IBteQoKFJi
Cristiano,52000000,142,4,Likely to fizzle,142,4604,12663,29930.0,6.603,Thank you for a massive and unbelievable reception. I'm happy to win but also sad for Manchester United. http://t.co/JHd
jimmyfallon,42000000,140,12,Likely to fizzle,208,2526,603,3732.0,1.673,"Tonight: Harrison Ford is here, doing something fun with @SethMacFarlane &amp; music from @iamjojo! #FallonTonight"
KimKardashian,48000000,142,62,Has legs,780,2568,777,4122.0,0.542,Who’s ready for #KUWTK? All new episode tonight on E!
taylorswift13,83000000,147,12,Likely to fizzle,207,4006,5619,15244.0,0.486,Shout out to the #TaylorFollowers who have been with me all week. Check out their tweets for updates because they rule.
shakira,42000000,140,4,Likely to fizzle,140,1157,477,2111.0,0.875,"Para celebrar el lanzamiento de #RockByShakira, Shak está en la portada de la @revista_donna en Brasil. ShakHQ http://t."
BarackObama,78000000,147,4,Likely to fizzle,147,1717,644,3005.0,0.852,Stand up for equal pay—add your name now: https://t.co/X3NldyL4LJ #EqualPayDay
ArianaGrande,42000000,140,47,Limited spread,550,27487,11578,50643.0,1.262,just wanna talk to my babes rn. Love you. hi.
ArianaGrande,42000000,140,61,Has legs,782,9059,2599,14257.0,0.355,@bocabieber thank you my love
ddlovato,41000000,140,4,Likely to fizzle,140,13726,5632,24990.0,0.766,"The election is just weeks away. Check if you're registered to vote at https://t.co/HcMAh8ljR0, only takes a few cl… htt"
selenagomez,45000000,141,4,Likely to fizzle,141,2361,5990,14341.0,0.786,I can't express enough how grateful I am for this group. They have been with me since day one and I can't be http://t.co
shakira,42000000,140,6,Likely to fizzle,157,1911,2011,5933.0,2.466,Qué orgullo siento!! So proud of you!! Shak http://t.co/oSeMNABD
YouTube,60000000,144,4,Likely to fizzle,144,2130,530,3190.0,2.337,"To close out #InternationalCatDay, let us play you the song of our people. https://t.co/OFHSg2I2Jp https://t.co/31sOtbEQ"
KimKardashian,48000000,142,6,Likely to fizzle,165,1339,287,1913.0,0.251,Such a good idea!!!! https://t.co/Bn2UNwhxlp
britneyspears,36000000,138,3,Likely to fizzle,138,3654,2052,7758.0,2.032,How I feel now that #PrettyGirls is on iTunes in the UK! Get your copy here: http://t.co/Crh0TPymTh http://t.co/ZoJb9shd
YouTube,60000000,144,7,Likely to fizzle,169,5317,846,7009.0,5.135,Who ordered a party pug for the season finale of #ScarePewDiePie? https://t.co/BpQUlQw8ns https://t.co/KiZmRb1CsI
KimKardashian,48000000,142,27,Limited spread,320,3912,495,4902.0,0.644,Log onto my app!
Twitter,55000000,143,4,Likely to fizzle,143,943,185,1313.0,1.252,"Thanks, @sethrogen for putting yourself out there and cracking us up. #LoveTwitter https://t.co/VEM3WeqyOn"
britneyspears,36000000,138,36,Limited spread,415,1334,500,2334.0,0.611,@mattstopera Aww I love these pics! Hope you and @broorange enjoyed the show! Thanks for dancing with me 😉
KimKardashian,48000000,142,19,Likely to fizzle,257,2975,529,4033.0,0.53,HOW TO WEAR WHITE AFTER LABOR DAY https://t.co/AJhAzk3xuo
KimKardashian,48000000,142,10,Likely to fizzle,197,7274,1541,10356.0,1.363,THE LOOK: NATURAL DAYTIME https://t.co/ncuv95apoE https://t.co/uUklkekI7q
instagram,45000000,141,4,Likely to fizzle,141,711,167,1045.0,0.767,"The Week on Instagram | 264
https://t.co/aOsoQADqb3 https://t.co/hbsPNCffxZ"
taylorswift13,83000000,147,20,Likely to fizzle,270,12426,11367,35160.0,1.123,Nashville tonight. Nashville tonight. Nashville tonight. Nashville tonight. NASHVILLE. TONIGHT.
TheEllenShow,65000000,145,4,Likely to fizzle,145,1078,213,1504.0,0.259,"If you love playing Epic or Fail as much as I do, check out the first episode of the Epic or Fail show on @ellentube htt"
KimKardashian,48000000,142,4,Likely to fizzle,142,5616,1095,7806.0,1.027,So proud of @khloekardashian Her new book is EVERYTHING. #StrongLooksBetterNaked Get it now!https://t.co/Hj80rN02se http
TheEllenShow,65000000,145,4,Likely to fizzle,145,5084,1227,7538.0,1.297,This is the fastest man on Earth @UsainBolt and me losing a push-up contest. https://t.co/mO8SJYioDG
ArianaGrande,42000000,140,27,Limited spread,333,22536,10129,42794.0,1.067,(it has nothing to do with snow I just love the weather emojis)
ladygaga,64000000,145,28,Limited spread,319,2490,1357,5204.0,0.453,@_gagafied_ You guys are my sweet angels that lift me up and give me the confidence i need to be fearless. love you too!
jtimberlake,41000000,140,38,Limited spread,477,6476,2758,11992.0,4.428,Hope everybody had a great Valentine's Day... I spent mine with the good people of Toronto and we LOVED IT! @THETNKIDS
rihanna,59000000,144,64,Has legs,801,3852,1844,7540.0,1.179,@stunnafenty MENS ARE COMING IN 2 weeks!!!!
ArianaGrande,42000000,140,22,Likely to fizzle,288,37177,22722,82621.0,2.059,y'all are............ my favorite
britneyspears,36000000,138,67,Has legs,962,155,149,453.0,0.119,@strikeap0se happy happy birthday!
justinbieber,91000000,148,9,Likely to fizzle,196,46689,37461,121611.0,0.858,I look forward to coming back to Montreal in the future to do a proper show but I will not be able to attend 2day due to
